"","hometype","period_pre","group","mean_mtwpsolde","mean_mtceesolde","mean_mtttcplanfinsolde","mean_reste","mean_risk_seuil","mean_distance_seuil","mean_rfrsum","median_mtwpsolde","median_mtceesolde","median_mtttcplanfinsolde","median_reste","median_risk_seuil","median_distance_seuil","median_rfrsum","N"
"1","TMO","pre","Control",4279.03930082452,857.716811443325,6821.39399641876,1684.63788415091,0.717206629466145,-1002.49848450904,17617.3838594153,4000,197,4877,950,1,-382,17374.5,17462
"2","TMO","pre","Treated",3979.39126455907,4445.99551353804,12652.3045484798,4226.9177703827,0.349266374224777,-2961.68731553472,17148.5923460898,4000,4400,11876.5,3323.5,0,-2130.15,16859,13222
"3","MO","pre","Control",3205.82048238058,1257.39241503524,8372.58548316366,3909.37258574785,0.11433046202036,-1816.22621495693,28339.4371182459,800,214,4937,3047,0,-1365,27265,2854
"4","MO","pre","Treated",2972.99180257511,4018.3982111588,13934.8151708155,6943.42515708154,0.000171673819742489,-3459.72136437768,27531.3208583691,3000,4000,13523,6495,0,-3105.5,26781,5825
"5","INT","pre","Treated",1994.35342306772,2531.81969131371,14647.3951244317,10121.2220100503,0,-4262.26396027758,37375.0860253649,2000,2500,14067,9536.5,0,-3926.4,36436.5,8358
"6","INT","pre","Control",2063.90966314237,1102.32951069584,10080.1298205065,6913.89064666831,0.0103270223752151,-2881.8387184657,38676.8168182936,2000,117,5093,4012,0,-1675,37626,2402
"7","TMO","post","Control",4451.38508452207,797.406928282601,7052.71285044367,1803.920837639,0.716556217005504,-1098.64955259463,17462.8549084578,4000,133,4900,965,1,-411,17087,26758
"8","MO","post","Treated",3954.87102494847,3882.2185357879,14482.0652768498,6644.97571611344,0.00063970431445021,-3024.45939690099,27784.6595351482,4000,4000,13976,6052,0,-2558.5,27107,14069
"9","INT","post","Control",2559.70373913043,1144.62601946788,11232.7292887735,7528.39953017521,0.00882543802725503,-3035.3078146658,39403.2942245295,2000,117,5275,4215,0,-1716.8,38316,4273
"10","TMO","post","Treated",4961.63760228077,4080.7462833479,13580.1138302743,4537.72994464561,0.29962125941649,-3179.71856161818,17236.36096891,5000,4200,12926,3800,0,-2500,16964,24027
"11","INT","post","Treated",2984.67899453364,2488.51715189601,15074.0206675849,9600.82452115525,0,-3571.21625412129,38014.8958378169,3000,2500,14500,9019,0,-3224.6,36901,23233
"12","MO","post","Control",3839.00103739077,1386.0086080065,9334.06,4109.05035460272,0.106990449095712,-1775.53535460272,28521.7705750864,3000,196,5002,3229.75,0,-1316,27484.5,4521
