"","hometype","period_pre","subtype","mtwpsolde","mtceesolde","mtttcplanfinsolde","reste","distance_seuil","N"
"1","TMO","pre","ces",3986.3922265465,153.645823433019,4975.02345350266,-834.985403523146,-337.48305817288,9764
"2","TMO","pre","cag",9838.59720281478,4055.1594747424,17874.38174667,-3980.62506911284,-2193.18689444584,3979
"3","TMO","pre","pcae",3979.39126455907,4445.99551353804,12652.3045484798,-4226.9177703827,-2961.68731553472,13222
"4","MO","pre","cgthpe",797.991814492754,335.805884057971,4821.14390144928,-3687.34620289855,-2482.06022753623,1725
"5","MO","pre","pcae",2972.99180257511,4018.3982111588,13934.8151708155,-6943.42515708154,-3459.72136437768,5825
"6","MO","pre","cet",798.778353856124,92.1480622164614,3184.24238496436,-2293.31596889177,-1497.25537265068,1543
"7","INT","pre","pcae",1994.35342306772,2531.81969131371,14647.3951244317,-10121.2220100503,-4262.26396027758,8358
"8","TMO","pre","cet",1196.59442835131,126.672382126348,2884.26295839753,-1560.99614791988,-1272.56985208012,3245
"9","INT","pre","cag",3984.31099099099,2546.85585585586,19134.2830930931,-12603.1162462462,-4949.40300900901,1665
"10","MO","pre","ces",2980.45334685598,132.549695740365,5006.57099391481,-1893.56795131846,-641.925202839757,986
"11","TMO","pre","cgthpe",1195.50108822386,460.623062572872,4648.12985619899,-2992.00570540225,-2527.19271978236,2573
"12","TMO","pre","ventil2",3985.63833933393,306.509252925293,5121.21918091809,-829.071588658866,-316.949670567057,4444
"13","INT","pre","cet",399.810899470899,87.0506031746032,3343.04499470899,-2856.18349206349,-1518.96549417989,1890
"14","MO","pre","cag",7730.78772978959,3930.43106866002,18629.1294186047,-6967.91062015504,-2310.62826550388,1806
"15","INT","pre","ces",1984.59650145773,137.551020408163,5312.54810495627,-3190.40058309038,-1065.38134110787,343
"16","MO","pre","ventil2",2967.58854037267,238.992080745342,5089.63462732919,-1883.05400621118,-610.645349378882,322
"17","INT","pre","ventil2",1972.78148148148,178.465925925926,5728.63327160494,-3577.38586419753,-1285.93255555556,162
"18","TMO","post","ces",3987.65477069396,123.741980333683,4960.75711292013,-849.36036189248,-353.284650600468,12407
"19","MO","post","pcae",3954.87102494847,3882.2185357879,14482.0652768498,-6644.97571611344,-3024.45939690099,14069
"20","INT","post","cet",399.978532608696,84.5530543478261,3192.64926630435,-2708.11767934783,-1431.05797282609,3680
"21","TMO","post","ventil2",3991.12888848878,217.843907093986,5144.8660424919,-935.893246909135,-421.406642659945,8331
"22","TMO","post","pcae",4961.63760228077,4080.7462833479,13580.1138302743,-4537.72994464561,-3179.71856161818,24027
"23","TMO","post","cet",1197.97787564767,95.6110345980277,2721.66458465653,-1428.07567441083,-1155.90921594518,5983
"24","INT","post","pcae",2984.67899453364,2488.51715189601,15074.0206675849,-9600.82452115525,-3571.21625412129,23233
"25","MO","post","cag",8656.12375037776,3800.84073738289,19483.2727047446,-7026.30821698398,-2155.49004079782,3309
"26","MO","post","cgthpe",799.433772365805,274.066948310139,4986.34308151093,-3912.84236083499,-2666.25659045726,2012
"27","TMO","post","cgthpe",1195.96031473534,295.177103004292,4819.72834406295,-3328.59092632332,-2846.61809191702,2796
"28","MO","post","cet",799.30380829967,86.6902093279471,3056.16115313992,-2170.1671355123,-1406.12684722732,2723
"29","INT","post","ces",1995.13540669856,127.002990430622,5597.96416267943,-3475.82576555024,-1236.64010047847,418
"30","MO","post","ces",2983.86941501976,118.227731225296,5036.03162055336,-1933.9344743083,-674.92656916996,1265
"31","TMO","post","cag",10762.6272086497,3902.93862495873,19283.066006933,-4617.50017332453,-2689.19357263123,6058
"32","INT","post","cag",4979.30833333333,2451.02122668998,20837.8504691142,-13407.5209090909,-5072.38072144522,3432
"33","INT","post","ventil2",1950.54644578313,251.151445783133,5521.3556626506,-3319.65777108434,-1111.1155060241,166
"34","MO","post","ventil2",2987.26304924242,237.694128787879,5015.11939393939,-1790.16221590909,-536.382367424242,528
"35","TMO","post","panneau",2545.45454545455,126.393939393939,5152.18181818182,-2480.33333333333,-1965.11515151515,33
